source_type,source_path,filename,extension,assigned_majors,word_count,preview_top_words
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 229,.csv-row,Electrical Engineering,8,control; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 230,.csv-row,Electrical Engineering,8,robotic
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 231,.csv-row,Electrical Engineering,8,robotic
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 232,.csv-row,Electrical Engineering,8,cryptographic
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 233,.csv-row,Electrical Engineering,8,cryptographic
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 234,.csv-row,Electrical Engineering,8,smart; grid
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 235,.csv-row,Electrical Engineering,8,smart; grid
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 236,.csv-row,Electrical Engineering,8,smart; antennas
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 237,.csv-row,Electrical Engineering,8,smart; antennas
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 238,.csv-row,Computer Science; Electrical Engineering,8,electromagnetic; theory
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 239,.csv-row,Computer Science; Electrical Engineering,8,electromagnetic; theory
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 240,.csv-row,Computer Science; Electrical Engineering,8,information; theory
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 241,.csv-row,Computer Science; Electrical Engineering,8,information; theory
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 242,.csv-row,Computer Science; Electrical Engineering,8,detection; theory
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 243,.csv-row,Computer Science; Electrical Engineering,8,detection; theory
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 244,.csv-row,Electrical Engineering,10,fiber; optic; communications
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 245,.csv-row,Electrical Engineering,10,fiber; optic; communications
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 246,.csv-row,Electrical Engineering,8,wireless; networks
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 247,.csv-row,Electrical Engineering,8,wireless; networks
