course_code,prefix,number,level,title_or_context,source_page,linked_file_or_page,raw_text
CNT 4411,CNT,4411,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CNT 4411
CNT 4411,CNT,4411,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,CNT 4411
COP 2220,COP,2220,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,COP 2220
COP 2220,COP,2220,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,COP 2220
COP 2220,COP,2220,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,COP 2220
COP 2220,COP,2220,undergraduate,Introduction to Programming in C,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,COP 2220 Introduction to Programming in C
COP 2220,COP,2220,undergraduate,Introduction to Programming in C,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop2220intro-programming-c.pdf,COP 2220 Introduction to Programming in C
COP 3014,COP,3014,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,COP 3014
COP 3014,COP,3014,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,COP 3014
COP 3014,COP,3014,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,COP 3014
COP 3014,COP,3014,undergraduate,Foundations of Computer Science,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,COP 3014 Foundations of Computer Science
COP 3014,COP,3014,undergraduate,Foundations of Computer Science,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop3014foundations-cs.pdf,COP 3014 Foundations of Computer Science
COP 3014C,COP,3014C,undergraduate,or COP 3530C,https://www.fau.edu/engineering/eecs/new-electives/,,Prerequisite: COP 4773 and COP 3014C or COP 3530C
COP 3014L,COP,3014L,undergraduate,Foundation of Computer Science Lab,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,COP 3014L Foundation of Computer Science Lab
COP 3014L,COP,3014L,undergraduate,Foundation of Computer Science Lab,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cop3014l-foundationcs-lab.pdf,COP 3014L Foundation of Computer Science Lab
COP 3035,COP,3035,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,COP 3035
COP 3410,COP,3410,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,COP 3410
COP 3410,COP,3410,undergraduate,"or COP 3530 with minimum grade of ""C""",https://www.fau.edu/engineering/eecs/new-electives/,,"Prerequisite: COP 3410 or COP 3530 with minimum grade of ""C"""
COP 3530,COP,3530,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,COP 3530
COP 3530,COP,3530,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,COP 3530
COP 3530,COP,3530,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,COP 3530
COP 3530,COP,3530,undergraduate,Data Structures and Algorithm Analysis,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,COP 3530 Data Structures and Algorithm Analysis
