resource_type,link_text,url,source_page,saved_path,error
syllabus,EEL 4930 Silicon IC Fabrication,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4930silicon-ic-fab.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4930silicon-ic-fab.pdf,
syllabus,EGN 1002 Fundamentals of Engineering,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/egn1002fundamentals.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\egn1002fundamentals.pdf,
syllabus,EGN 4410C Engineering Design I,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/egn4410c-engineering-design1.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\egn4410c-engineering-design1.pdf,
syllabus,EGN 4411C Engineering Design II,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/egn4411c-engineering-design2.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\egn4411c-engineering-design2.pdf,
syllabus,"ETG 2831 Nature: Intersections of Science, Engineering and the Humanities",https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/etg2831nature-intersections-of-science-engineering-humanities.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\etg2831nature-intersections-of-science-engineering-humanities.pdf,
syllabus,CAP 5615 Introduction to Neural Networks,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/pdf/cap5615intro-neural-networks.pdf,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap5615intro-neural-networks.pdf,
syllabus,CAP 5625 Computational Foundations of Artificial Intelligence,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/pdf/cap5625computational-foundations-of-artificial-intelligence.pdf,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap5625computational-foundations-of-artificial-intelligence.pdf,
syllabus,CAP 5768 Introduction to Data Science,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/pdf/cap5768introduction-to-data-science.pdf,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap5768introduction-to-data-science.pdf,
syllabus,CAP 6010 Multimedia Systems,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/pdf/cap6010multimedia-systems.pdf,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap6010multimedia-systems.pdf,
syllabus,CAP 6018 Multimedia Programming,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/pdf/cap6018multimedia-programming.pdf,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap6018multimedia-programming.pdf,
syllabus,CAP 6315 Social Networks and Big Data Analytics,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/pdf/cap6315social-networks-big-data-analytics.pdf,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap6315social-networks-big-data-analytics.pdf,
syllabus,CAP 6411 Foundations of Vision,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/pdf/cap6411foundations-vision.pdf,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap6411foundations-vision.pdf,
syllabus,CAP 6546 Data Mining for Bioinformatics,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/pdf/cap6546Data-mining-for-bioinformatics.pdf,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap6546Data-mining-for-bioinformatics.pdf,
syllabus,CAP 6610 Applied Machine Learning,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/pdf/cap-6610-applied-machine-learning.pdf,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap-6610-applied-machine-learning.pdf,
syllabus,CAP 6617 Sparse Learning,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/pdf/cap6617sparse-learning.pdf,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,DepCourseInfo\downloaded_forms_and_worksheets\cap6617sparse-learning.pdf,
