top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,ndcg_k,ndcg,map,combined_score
100,2.2,0.75,90,1.0,1.5,30,0.4533748911679987,0.3285023953379504,0.39093864325297456
100,0.8,0.55,60,0.5,1.0,30,0.45415637507470796,0.327593264408025,0.3908748197413665
100,1.8,0.55,90,0.5,1.0,30,0.4545209330029031,0.3267026272598472,0.39061178013137515
50,2.2,0.9,10,0.5,0.75,30,0.4571135519035458,0.3239559420296304,0.3905347469665881
50,2.2,0.9,10,1.0,1.5,30,0.4571135519035458,0.3239559420296304,0.3905347469665881
100,1.8,0.75,60,0.5,0.75,30,0.45234050296767225,0.3285366807732123,0.3904385918704423
100,1.8,0.75,60,1.0,1.5,30,0.45234050296767225,0.3285366807732123,0.3904385918704423
50,1.2,0.9,10,0.5,1.5,30,0.45451765656634135,0.3261794547781771,0.39034855567225923
100,0.8,0.35,30,0.5,1.5,30,0.4528329489203839,0.327811554771678,0.390322251846031
100,1.5,0.75,60,0.5,0.75,30,0.4523038758537848,0.328268654766298,0.3902862653100414
100,1.5,0.75,60,1.0,1.5,30,0.4523038758537848,0.328268654766298,0.3902862653100414
50,2.2,0.75,90,0.5,1.5,30,0.454195732227181,0.32548720715227325,0.3898414696897271
100,0.8,0.55,10,0.5,1.0,30,0.4531171589813067,0.3262409505634224,0.38967905477236453
100,1.5,0.75,90,0.5,0.75,30,0.4518476794451048,0.3274781207667769,0.38966290010594085
100,1.5,0.75,90,1.0,1.5,30,0.4518476794451048,0.3274781207667769,0.38966290010594085
50,1.8,0.55,10,0.5,1.5,30,0.4559050855272416,0.3232584522246564,0.389581768875949
100,1.8,0.75,90,0.5,0.75,30,0.45172088158229906,0.3273885470605263,0.38955471432141264
100,1.8,0.75,90,1.0,1.5,30,0.45172088158229906,0.3273885470605263,0.38955471432141264
100,0.8,0.35,30,0.5,1.0,30,0.45428474314336686,0.32469487206564523,0.389489807604506
100,0.8,0.75,10,0.5,1.0,30,0.4529404953374521,0.32593134039871297,0.3894359178680825
100,0.8,0.9,30,0.5,0.75,30,0.4496756763268442,0.32905010177176297,0.3893628890493036
100,0.8,0.9,30,1.0,1.5,30,0.4496756763268442,0.32905010177176297,0.3893628890493036
50,1.2,0.9,30,0.5,1.5,30,0.4530656916417319,0.32544007337227593,0.3892528825070039
100,1.8,0.9,30,0.5,0.5,30,0.44856119496592534,0.3297135007465567,0.389137347856241
100,1.8,0.9,30,1.0,1.0,30,0.44856119496592534,0.3297135007465567,0.389137347856241
100,1.8,0.9,30,1.5,1.5,30,0.44856119496592534,0.3297135007465567,0.389137347856241
100,1.8,0.55,10,0.5,0.75,30,0.4504771223294483,0.32767932436414077,0.38907822334679454
100,1.8,0.55,10,1.0,1.5,30,0.4504771223294483,0.32767932436414077,0.38907822334679454
50,2.2,0.55,10,0.5,1.5,30,0.4555317895624544,0.32257397047995895,0.38905288002120664
100,1.2,0.55,60,0.5,1.0,30,0.45340347207247605,0.32455727182148036,0.3889803719469782
100,2.2,0.55,10,0.5,0.75,30,0.44960479751362226,0.32826674025615826,0.38893576888489023
100,2.2,0.55,10,1.0,1.5,30,0.44960479751362226,0.32826674025615826,0.38893576888489023
50,0.8,0.9,10,0.5,1.5,30,0.4519514628505482,0.3257024214490342,0.3888269421497912
100,1.2,0.55,30,0.5,1.0,30,0.45257165590715037,0.3250257738392281,0.38879871487318923
100,2.2,0.9,30,1.0,0.75,30,0.4497298731346898,0.32776300233233435,0.3887464377335121
100,2.2,0.9,30,2.0,1.5,30,0.4497298731346898,0.32776300233233435,0.3887464377335121
100,1.5,0.55,90,0.5,1.0,30,0.4518540726523856,0.3255306858035461,0.38869237922796585
100,1.2,0.55,10,0.5,1.0,30,0.4523387263160511,0.3249523804052055,0.38864555336062834
100,1.8,0.9,10,0.5,0.5,30,0.4478608512906966,0.3290518417474531,0.38845634651907485
100,1.8,0.9,10,1.0,1.0,30,0.4478608512906966,0.3290518417474531,0.38845634651907485
100,1.8,0.9,10,1.5,1.5,30,0.4478608512906966,0.3290518417474531,0.38845634651907485
100,1.2,0.75,30,0.5,0.75,30,0.44795119981741827,0.32894951456767546,0.38845035719254684
100,1.2,0.75,30,1.0,1.5,30,0.44795119981741827,0.32894951456767546,0.38845035719254684
100,1.2,0.35,60,0.5,1.0,30,0.4538425639585667,0.32299915713364014,0.3884208605461034
50,1.5,0.9,30,0.5,1.5,30,0.4518833836192379,0.32493945572662597,0.3884114196729319
50,1.2,0.9,60,0.5,1.5,30,0.4508238831847274,0.3256830953063967,0.388253489245562
50,2.2,0.9,30,0.5,0.75,30,0.45376648725404506,0.3223307446349262,0.38804861594448564
50,2.2,0.9,30,1.0,1.5,30,0.45376648725404506,0.3223307446349262,0.38804861594448564
